Estado	Q_RL	Q_Emp	Recompensas
----------------------------------------------------------------------------------------------------
(110, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 3.710305455819502, 1: 4.533750872770501, 2: 17.845836370538184, 3: 6.951972518629266}	True
(110, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 3.710305455819502, 1: 4.533750872770501, 2: 17.845836370538184, 3: 6.951972518629266}	False
(111, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 3.2255503977865394, 1: 6.731565398620879, 2: 1.8771148893057445, 3: 2.780321279908393}	True
(111, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 3.2255503977865394, 1: 6.731565398620879, 2: 1.8771148893057445, 3: 2.780321279908393}	False
(112, True)	{0: 0.08246659200000002, 1: 0.08320585036652456, 2: 0.084473632, 3: 0.084473632}	{0: 2.7123492332343035, 1: 7.301474822768663, 2: 2.3253011653835842, 3: 3.604010771665446}	True
(112, False)	{0: 0.08246659200000002, 1: 0.08320585036652456, 2: 0.084473632, 3: 0.084473632}	{0: 2.7123492332343035, 1: 7.301474822768663, 2: 2.3253011653835842, 3: 3.604010771665446}	False
(113, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 1.0396517940256826, 1: 1.9768102776298504, 2: 3.342751722855139, 3: 6.114508173039044}	True
(113, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 1.0396517940256826, 1: 1.9768102776298504, 2: 3.342751722855139, 3: 6.114508173039044}	False
(210, True)	{0: 0.096, 1: 0.096, 2: 0.096, 3: 0.0}	{0: 6.559281346952073, 1: 7.587207078221768, 2: 27.12678061019248, 3: 6.4704656763646}	True
(210, False)	{0: 0.096, 1: 0.096, 2: 0.096, 3: 0.0}	{0: 6.559281346952073, 1: 7.587207078221768, 2: 27.12678061019248, 3: 6.4704656763646}	False
(211, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 9.946164975386875, 1: 8.427669448516406, 2: 12.990047466815543, 3: 4.2137696466378864}	True
(211, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 9.946164975386875, 1: 8.427669448516406, 2: 12.990047466815543, 3: 4.2137696466378864}	False
(212, True)	{0: 0.08336865461751064, 1: 0.08391524804977137, 2: 0.0823659505477815, 3: 0.08148048000000002}	{0: 4.336496351634506, 1: 4.723439141585323, 2: 9.590001848467981, 3: 4.81671765574327}	True
(212, False)	{0: 0.08336865461751064, 1: 0.08391524804977137, 2: 0.0823659505477815, 3: 0.08148048000000002}	{0: 4.336496351634506, 1: 4.723439141585323, 2: 9.590001848467981, 3: 4.81671765574327}	False
(213, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 1.9743006012853108, 1: 1.9482951517595732, 2: 2.153742795807725, 3: 3.8366063895917377}	True
(213, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 1.9743006012853108, 1: 1.9482951517595732, 2: 2.153742795807725, 3: 3.8366063895917377}	False
(310, True)	{0: 0.09208000000000001, 1: 0.39846149731936786, 2: 0.096, 3: 0.096}	{0: 5.495998841886607, 1: 11.91355267005877, 2: 4.128125925485012, 3: 3.70726183409452}	True
(310, False)	{0: 0.09208000000000001, 1: 0.39846149731936786, 2: 0.096, 3: 0.096}	{0: 5.495998841886607, 1: 11.91355267005877, 2: 4.128125925485012, 3: 3.70726183409452}	False
(311, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 5.096638265350483, 1: 4.236620725422926, 2: 2.381925494599572, 3: 11.575214370584957}	True
(311, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 5.096638265350483, 1: 4.236620725422926, 2: 2.381925494599572, 3: 11.575214370584957}	False
(312, True)	{0: 0.08726613074142447, 1: 1.4852696597705615, 2: 0.08802799016531294, 3: 0.08530367284479357}	{0: 2.969280438159151, 1: 2.8702978248442372, 2: 6.483027394800083, 3: 3.2370593174018953}	True
(312, False)	{0: 0.08726613074142447, 1: 1.4852696597705615, 2: 0.08802799016531294, 3: 0.08530367284479357}	{0: 2.969280438159151, 1: 2.8702978248442372, 2: 6.483027394800083, 3: 3.2370593174018953}	False
(313, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 3.333658465559955, 1: 1.5950352764083244, 2: 2.0260583260095855, 3: 2.4574959548155864}	True
(313, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 3.333658465559955, 1: 1.5950352764083244, 2: 2.0260583260095855, 3: 2.4574959548155864}	False
(410, True)	{0: 0.4887736623549537, 1: 0.096, 2: 0.096, 3: 0.096}	{0: 9.974176139935, 1: 8.163819870897324, 2: 15.627323026354162, 3: 4.337727896465979}	True
(410, False)	{0: 0.4887736623549537, 1: 0.096, 2: 0.096, 3: 0.096}	{0: 9.974176139935, 1: 8.163819870897324, 2: 15.627323026354162, 3: 4.337727896465979}	False
(411, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 6.98376480955856, 1: 10.805934861191078, 2: 6.209140532441039, 3: 8.037311428045022}	True
(411, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 6.98376480955856, 1: 10.805934861191078, 2: 6.209140532441039, 3: 8.037311428045022}	False
(412, True)	{0: 0.08936085747174165, 1: 0.08953826650995023, 2: 2.6061059973204594, 3: 0.08797698452080577}	{0: 0.09286835933700266, 1: 8.297380497193426, 2: 2.940609074833379, 3: 2.5119181704569185}	True
(412, False)	{0: 0.08936085747174165, 1: 0.08953826650995023, 2: 2.6061059973204594, 3: 0.08797698452080577}	{0: 0.09286835933700266, 1: 8.297380497193426, 2: 2.940609074833379, 3: 2.5119181704569185}	False
(413, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.03896138131198432, 1: 1.4476385518699533, 2: 0.9523100591340783, 3: 2.236180098397283}	True
(413, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.03896138131198432, 1: 1.4476385518699533, 2: 0.9523100591340783, 3: 2.236180098397283}	False
(510, True)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.3581504938428749}	{0: 5.539431941199231, 1: 1.4231156185979912, 2: 11.169056268836584, 3: 4.619118391054547}	True
